estrutura,cenario,tamanho_base,repeticao,quantidade_operacoes,operacoes_sucesso,tempo_total_segundos,tempo_medio_segundos,memoria_pico_bytes,quantidade_elementos,numero_comparacoes,numero_colisoes,fator_carga,maior_lista,numero_rotacoes,altura_arvore
hash,vendas,100,10,100,98,0.0002351000439375639,2.351000439375639e-06,96,100,121,0,0.4975124378109453,4,,
hash,operacoes_mistas,100,10,100,100,0.00023180001880973577,2.318000188097358e-06,264,100,131,0,0.4975124378109453,4,,
hash,listagem_codigo,100,10,100,100,5.000003147870302e-05,5.000003147870302e-07,1984,100,0,0,0.4975124378109453,4,,
avl,insercao,100,10,100,100,0.001067599980160594,1.067599980160594e-05,10480,100,1074,,,,66,8
avl,busca_existente,100,10,100,100,0.00028199993539601564,2.8199993539601565e-06,112,100,588,,,,0,8
avl,busca_inexistente,100,10,100,0,0.00029120000544935465,2.9120000544935464e-06,112,100,618,,,,0,8
avl,remocao,100,10,10,10,5.659996531903744e-05,5.659996531903744e-06,48,90,65,,,,11,8
avl,vendas,100,10,100,98,0.0003844000166282058,3.844000166282058e-06,112,100,592,,,,0,8
avl,operacoes_mistas,100,10,100,100,0.0005945999873802066,5.945999873802066e-06,256,100,588,,,,0,8
avl,listagem_codigo,100,10,100,100,3.750005271285772e-05,3.7500052712857723e-07,864,100,0,,,,0,8
hash,insercao,100,11,100,100,0.0003627999685704708,3.627999685704708e-06,2624,100,27,21,0.4975124378109453,4,,
hash,busca_existente,100,11,100,100,0.0003712000325322151,3.712000325322151e-06,96,100,127,0,0.4975124378109453,4,,
hash,busca_inexistente,100,11,100,0,0.0002039000391960144,2.039000391960144e-06,96,100,45,0,0.4975124378109453,4,,
hash,remocao,100,11,10,10,3.550003748387098e-05,3.5500037483870982e-06,200,90,11,0,0.44776119402985076,4,,
hash,vendas,100,11,100,98,0.00019729998894035816,1.9729998894035815e-06,96,100,121,0,0.4975124378109453,4,,
hash,operacoes_mistas,100,11,100,100,0.00021700002253055573,2.1700002253055572e-06,264,100,131,0,0.4975124378109453,4,,
hash,listagem_codigo,100,11,100,100,4.229997284710407e-05,4.229997284710407e-07,1984,100,0,0,0.4975124378109453,4,,
avl,insercao,100,11,100,100,0.0008515000808984041,8.515000808984042e-06,10480,100,1074,,,,66,8
avl,busca_existente,100,11,100,100,0.00022489996626973152,2.248999662697315e-06,112,100,588,,,,0,8
avl,busca_inexistente,100,11,100,0,0.0002305000089108944,2.305000089108944e-06,112,100,618,,,,0,8
avl,remocao,100,11,10,10,4.6200002543628216e-05,4.620000254362822e-06,48,90,65,,,,11,8
avl,vendas,100,11,100,98,0.00031239993404597044,3.1239993404597045e-06,112,100,592,,,,0,8
avl,operacoes_mistas,100,11,100,100,0.0003154999576508999,3.154999576508999e-06,256,100,588,,,,0,8
avl,listagem_codigo,100,11,100,100,2.2900057956576347e-05,2.2900057956576346e-07,864,100,0,,,,0,8
hash,insercao,100,12,100,100,0.00029609992634505033,2.9609992634505035e-06,2624,100,27,21,0.4975124378109453,4,,
hash,busca_existente,100,12,100,100,0.00020750006660819054,2.0750006660819052e-06,96,100,127,0,0.4975124378109453,4,,
hash,busca_inexistente,100,12,100,0,0.0003893999382853508,3.893999382853508e-06,96,100,45,0,0.4975124378109453,4,,
hash,remocao,100,12,10,10,0.00034659996163100004,3.46599961631e-05,200,90,11,0,0.44776119402985076,4,,
hash,vendas,100,12,100,98,0.00026380002964287996,2.6380002964287996e-06,96,100,121,0,0.4975124378109453,4,,
hash,operacoes_mistas,100,12,100,100,0.0005230000242590904,5.230000242590904e-06,264,100,131,0,0.4975124378109453,4,,
hash,listagem_codigo,100,12,100,100,7.529999129474163e-05,7.529999129474163e-07,1984,100,0,0,0.4975124378109453,4,,
avl,insercao,100,12,100,100,0.0010646999580785632,1.0646999580785632e-05,10480,100,1074,,,,66,8
avl,busca_existente,100,12,100,100,0.00024129997473210096,2.4129997473210094e-06,112,100,588,,,,0,8
avl,busca_inexistente,100,12,100,0,0.0002717999741435051,2.717999741435051e-06,112,100,618,,,,0,8
avl,remocao,100,12,10,10,4.610000178217888e-05,4.610000178217888e-06,48,90,65,,,,11,8
avl,vendas,100,12,100,98,0.0002490000333636999,2.490000333636999e-06,112,100,592,,,,0,8
avl,operacoes_mistas,100,12,100,100,0.0002639000304043293,2.639000304043293e-06,256,100,588,,,,0,8
avl,listagem_codigo,100,12,100,100,1.8400023691356182e-05,1.8400023691356182e-07,864,100,0,,,,0,8
hash,insercao,100,13,100,100,0.0005227000219747424,5.227000219747424e-06,2624,100,27,21,0.4975124378109453,4,,
hash,busca_existente,100,13,100,100,0.00022030004765838385,2.2030004765838386e-06,96,100,127,0,0.4975124378109453,4,,
hash,busca_inexistente,100,13,100,0,0.00026899995282292366,2.6899995282292364e-06,96,100,45,0,0.4975124378109453,4,,
hash,remocao,100,13,10,10,3.9899954572319984e-05,3.989995457231999e-06,200,90,11,0,0.44776119402985076,4,,
hash,vendas,100,13,100,98,0.0002215999411419034,2.215999411419034e-06,96,100,121,0,0.4975124378109453,4,,
hash,operacoes_mistas,100,13,100,100,0.0002584999892860651,2.584999892860651e-06,264,100,131,0,0.4975124378109453,4,,
hash,listagem_codigo,100,13,100,100,5.180004518479109e-05,5.180004518479109e-07,1984,100,0,0,0.4975124378109453,4,,
avl,insercao,100,13,100,100,0.0011830999283120036,1.1830999283120036e-05,10480,100,1074,,,,66,8
avl,busca_existente,100,13,100,100,0.0006631000433117151,6.631000433117151e-06,112,100,588,,,,0,8
